ID,A_FECHA_NAC,A_PAIS_MALI,A_PAIS_ESPAÑA,A_PAIS_COLOMBIA,A_PAIS_MARRUECOS,A_PAIS_ECUADOR,A_PAIS_CHINA,A_PAIS_RUMANIA,A_IDIOMA_NVL,P_PAIS_OTRO_NO_EU,P_PAIS_ESPAÑA,P_PAIS_OTRO_EU,M_PAIS_OTRO_NO_EU,M_PAIS_ESPAÑA,M_PAIS_OTRO_EU,P_EDAD_50_59,P_EDAD_40_49,P_EDAD_60+,P_EDAD_30_39,M_EDAD_40_49,M_EDAD_30_39,M_EDAD_50_59,P_TRABAJO_AGRICULTURA,P_TRABAJO_SERVICIOS,P_TRABAJO_TRANSPORTE,P_TRABAJO_DESCONOCIDO,P_TRABAJO_NO_TRABAJA,P_TRABAJO_INDUSTRIA,M_TRABAJO_SERVICIOS,M_TRABAJO_NO_TRABAJA,M_TRABAJO_INDUSTRIA,M_TRABAJO_AGRICULTURA,M_TRABAJO_DESCONOCIDO,M_TRABAJO_TRANSPORTE,M_TRABAJO_AUTÓNOMA ,P_ESTUDIOS,M_ESTUDIOS,VEHICULOS_FAMILIA,A_HERMANOS,A_RESIDENCIA_AMBOS,A_RESIDENCIA_MADRE,A_RESIDENCIA_ALTERNA,FAMILIARES_RESIDENCIA,1ESO_C_1EV,1ESO_C_2EV,1ESO_C_EVF,1ESO_EF_1EV,1ESO_EF_2EV,1ESO_EF_EVF,1ESO_I_1EV,1ESO_I_2EV,1ESO_I_EVF,1ESO_M_1EV,1ESO_M_2EV,1ESO_M_EVF,1ESO_MEDIA_1EV,1ESO_MEDIA_2EV,1ESO_MEDIA_EVF,2ESO_C_1EV,2ESO_C_2EV,2ESO_C_EVF,2ESO_EF_1EV,2ESO_EF_2EV,2ESO_EF_EVF,2ESO_I_1EV,2ESO_I_2EV,2ESO_I_EVF,2ESO_M_1EV,2ESO_M_2EV,2ESO_M_EVF,2ESO_MEDIA_1EV,2ESO_MEDIA_2EV,2ESO_MEDIA_EVF,1FPB_MEDIA_1EV,1FPB_MEDIA_2EV,1FPB_MEDIA_EVF,1FPB_P_1EV,1FPB_P_2EV,1FPB_P_EVF,1FPB_CA_1EV,1FPB_CA_2EV,1FPB_CA_EVF,1FPB_CS_1EV,1FPB_CS_2EV,1FPB_CS_EVF,REP_1ESO,REP_2ESO,REP_1FPB,REC_1EV,REC_2EV,REC_EVEX,PROMOCIONA
11,2008,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,5,0,2,0,1,0,4,5,5,6,3,3,3,5,4,4,6,7,6,0.5,0.33333333333333337,0.5,5,2,5,5,5,6,6,5,5,5,5,5,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.7096792923916619,0.5789556787140986,0.31250234372070346,8.0,6.0,6.0,7.0,7.0,6.0,5.0,4.0,3.0,0,1,0,1.0,0.0,1.0,1
11,2008,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,5,0,2,0,1,0,4,5,5,6,3,3,3,5,4,4,6,7,6,0.5,0.33333333333333337,0.5,5,2,5,5,5,6,6,5,5,5,5,5,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.7096792923916619,0.5789556787140986,0.31250234372070346,8.0,6.0,6.0,7.0,7.0,6.0,5.0,4.0,3.0,0,1,0,1.0,0.0,1.0,1
12,2008,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,6,0,2,0,1,0,4,5,4,7,3,4,5,4,4,6,5,5,5,0.75,0.6666666666666667,0.5,4,6,6,7,5,7,3,4,5,3,4,3,0.9999999999999998,1.0,1.0,0.09677356920277935,0.47368670361422965,0.15626054674316564,4.0,4.0,4.0,6.0,7.0,6.0,4.0,4.0,3.0,0,0,0,2.0,1.0,4.0,0
13,2006,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,4,2,1,1,0,0,2,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.7580660769930516,0.0,0.31250234372070346,7.0,1.0,5.0,5.0,3.0,5.0,7.0,3.0,6.0,0,0,0,0.0,2.0,0.0,1
14,2007,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,6,1,1,1,0,0,4,2,2,5,6,7,7,3,2,4,3,4,6,0.5,0.6666666666666667,1.0,3,3,5,5,2,5,3,2,3,2,2,2,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.03226430797220664,0.2631645429712789,0.15626054674316564,3.0,3.0,3.0,5.0,7.0,5.0,4.0,4.0,5.0,0,1,1,4.0,2.0,6.0,0
16,2008,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,7,0,5,0,1,0,2,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.2580757543499719,0.5526344875499346,0.12500468744140697,6.0,5.0,4.0,6.0,8.0,5.0,5.0,4.0,3.0,0,0,0,1.0,0.0,2.0,0
17,2005,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,1,0,2,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,4,4,4,5,5,5,4,4,5,4,3,3,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.2580757543499719,0.6315822714856395,0.3437582030224621,5.0,5.0,4.0,5.0,8.0,7.0,5.0,5.0,4.0,0,0,0,2.0,1.0,2.0,0
18,2006,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,6,2,2,0,0,1,4,2,5,4,4,6,5,5,5,5,4,3,5,0.25,0.33333333333333337,0.0,4,5,3,5,6,5,5,3,2,2,1,1,0.4999999999999999,0.3333333333333333,0.0,0.32258501558054464,0.184216759035574,0.2187535155810552,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,1,1,0,2.0,1.0,6.0,0
19,2007,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7,1,2,0,1,0,5,5,4,5,2,4,6,4,5,6,3,3,2,0.5,0.6666666666666667,0.5,1,5,4,5,5,6,6,6,5,2,1,1,0.4999999999999999,0.3333333333333333,0.33333333333333326,0.8709621228250141,0.8157990305212134,0.6250046874414068,7.0,7.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,0,1,0,1.0,1.0,1.0,1
20,2006,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,0,0,4,3,3,4,5,6,5,2,2,2,6,6,7,0.25,0.0,0.0,1,1,2,5,7,7,3,1,2,9,9,10,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.29032070760833806,0.5263132963857706,0.31250234372070346,5.0,5.0,4.0,6.0,7.0,7.0,4.0,4.0,4.0,1,0,1,2.0,1.0,4.0,0
25,2007,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,2,1,0,0,4,4,4,5,4,5,5,4,4,5,4,4,5,0.5,0.33333333333333337,0.5,3,4,4,5,5,5,2,5,5,3,2,5,0.4999999999999999,0.3333333333333333,0.6666666666666666,0.32258501558054464,0.6842088642571804,0.5937488281396482,5.0,5.0,5.0,7.0,8.0,8.0,6.0,6.0,7.0,0,0,0,2.0,0.0,1.0,1
26,2006,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,6,3,3,1,0,0,6,5,4,5,5,7,6,2,1,2,5,4,5,0.75,0.6666666666666667,1.0,2,2,4,3,8,5,1,1,1,4,3,3,0.4999999999999999,0.6666666666666666,0.6666666666666666,0.3709718001819343,0.23684335180711485,0.1718791015112311,6.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,0,0,0,0.0,0.0,2.0,1
27,2006,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,4,3,1,0,0,1,3,4,3,5,6,6,6,5,5,5,3,4,5,0.75,0.6666666666666667,0.5,5,6,6,6,6,8,5,4,5,4,4,5,0.7499999999999999,0.6666666666666666,1.0,0.2258114463777653,0.35526502771067225,0.07813027337158285,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,0,0,1,0.0,0.0,6.0,0
